@type|@id|@lat|@lon|addr:city|addr:housenumber|addr:postcode|addr:street|addr:place|name|brand
node|3237819740|53.8094984|21.9486061||||||Delikatesy Centrum|Delikatesy Centrum
node|3274326273|50.5880493|21.6904660||||||Delikatesy Centrum|Delikatesy Centrum
node|3279533216|53.2057062|23.3436066||||||Delikatesy Centrum|
node|3298559402|51.2612129|15.5751487|Bolesławiec|24|59-700|Adama Asnyka||Delikatesy Centrum|Delikatesy Centrum
node|3315551201|49.6703883|21.1636045||||||Delikatesy Centrum|
node|3325560263|51.3650650|17.4698250|Twardogóra|20|56-416|Plac Piastów||Delikatesy Centrum|Delikatesy Centrum
node|3346494056|50.7845794|17.0688571|Strzelin|30|57-100|Wolności||Delikatesy Centrum|
node|3354809916|50.3462668|23.3273818||||||Delikatesy Centrum|Delikatesy Centrum
node|3355366731|49.8590620|20.5246361||||||Delikatesy Centrum|Delikatesy Centrum
node|3358901503|49.9450165|21.6158885||||||Delikatesy Centrum|
node|3358913728|50.4670903|20.7283264||||||Delikatesy Centrum|Delikatesy Centrum
node|3372181986|50.0584017|19.9410486||8||Świętej Gertrudy||Delikatesy Centrum|
node|3412653321|49.6096443|20.7008717|Nowy Sącz||33-300|Aleja Stefana Batorego||Delikatesy Centrum|
node|3448830785|51.3967115|17.6661887|Międzybórz|19|56-513|Wrocławska||Delikatesy Centrum|
node|3457666822|50.4693957|20.7080468|Busko-Zdrój|59|28-100|Bohaterów Warszawy||Delikatesy Centrum|Delikatesy Centrum
node|3462022321|54.6061481|18.1540965||||||Delikatesy Centrum|Delikatesy Centrum
node|3479569973|50.8002243|21.4311523|Opatów|19|27-500|Henryka Sienkiewicza||Delikatesy Centrum|Delikatesy Centrum
node|3491596636|51.7481838|19.4126832|Łódź|7a||Aleja Stefana Wyszyńskiego||Delikatesy Centrum|
node|3497246954|52.2417122|20.9455882|Warszawa|10||Erazma Ciołka||Delikatesy Centrum|Delikatesy Centrum
node|3566515997|50.0698000|21.6887792||||||Delikatesy Centrum|Delikatesy Centrum
node|3575374993|50.1386150|19.6464105|Krzeszowice|2|32-065|Majowa||Delikatesy Centrum|Delikatesy Centrum
node|3586731685|52.5355145|19.7614477|Płock|163|09-400|Wyszogrodzka||Delikatesy Centrum|Delikatesy Centrum
node|3586773376|54.7881791|17.9997588|Wierzchucino|22/7|84-113|Antoniego Abrahama||Delikatesy Centrum|Delikatesy Centrum
node|3588357409|49.9441342|21.8313176||||||Delikatesy Centrum|
node|3594232364|52.2091605|17.9280559||||||Delikatesy Centrum|Delikatesy Centrum
node|3612891063|49.9823352|22.1136715||||||Delikatesy Centrum|
node|3617238770|50.0974705|20.0199439||||||Delikatesy Centrum|Delikatesy Centrum
node|3634805189|52.1622545|21.0284403||||||Delikatesy Centrum|Delikatesy Centrum
node|3639100612|50.0438490|19.7922023||97A|32-060||Kryspinów|Delikatesy Centrum|Delikatesy Centrum
node|3646294086|53.4040423|17.8147669||||||Delikatesy Centrum|
node|3646575197|50.0089836|19.9619787||||||Delikatesy Centrum|Delikatesy Centrum
node|3662338419|49.2514210|22.6956245||||||Delikatesy Centrum|Delikatesy Centrum
node|3665654026|52.9604360|14.4401030||||||Delikatesy Centrum|
node|3707691532|50.0126288|21.8556493||||||Delikatesy Centrum|Delikatesy Centrum
node|3707691533|50.0250715|21.9400189||||||Delikatesy Centrum|Delikatesy Centrum
node|3709707272|49.6914888|22.0122787||||||Delikatesy Centrum|
node|3713151899|51.3796540|21.1822591||||||Delikatesy Centrum|Delikatesy Centrum
node|3716542411|49.4408029|19.8549056||||||Delikatesy Centrum|
node|3716574056|51.0022663|21.7137978||||||Delikatesy Centrum|Delikatesy Centrum
node|3739277831|50.5543505|22.9305052||||||Delikatesy Centrum|Delikatesy Centrum
node|3765116426|50.2888348|21.4203787||||||Delikatesy Centrum|
node|3771271558|50.5912000|21.0022153||||||Delikatesy Centrum|
node|3771614192|50.6755472|21.0418362||||||Delikatesy Centrum|
node|3790867840|50.4651561|17.0142264||||||Delikatesy Centrum|Delikatesy Centrum
node|3792796158|51.1024258|17.0145528|Wrocław|56|53-504|Grabiszyńska||Delikatesy Centrum|Delikatesy Centrum
node|3796090895|50.5213530|16.8731933|Kamieniec Ząbkowicki|13|57-230|Złotostocka||Delikatesy Centrum|Delikatesy Centrum
node|3809693463|51.5635081|15.5290694|Szprotawa|33|67-300|Marii Konopnickiej||Delikatesy Centrum|
node|3816342784|50.0856918|19.9111510||||||Delikatesy Centrum|
node|3859732473|52.3508401|14.5582295|Słubice|5|69-100|Mikołaja Kopernika||Delikatesy Centrum|Delikatesy Centrum
node|3875285457|51.0817644|17.0118236|Wrocław|17-19|53-128|Januszowicka||Delikatesy Centrum|
node|3875285458|51.0904851|17.0401558||||||Delikatesy Centrum|
node|3877345555|51.1019202|17.0275068|Wrocław|18|50-034|Michała Bałuckiego||Delikatesy Centrum|Delikatesy Centrum
node|3886307195|49.7086135|20.4249312|Limanowa|9|34-600|Mikołaja Kopernika||Delikatesy Centrum|Delikatesy Centrum
node|3888503248|49.6870915|21.7748381||||||Delikatesy Centrum|Delikatesy Centrum
node|3889684544|52.2155203|17.6292856||||||Delikatesy Centrum|Delikatesy Centrum
node|3893648968|49.4383064|20.7137100||||||Delikatesy Centrum|
node|3920519826|50.2979663|18.9513794||||||Delikatesy Centrum|Delikatesy Centrum
node|3921170510|50.6558677|21.4559069|Klimontów|35|27-640|Sandomierska||Delikatesy Centrum|Delikatesy Centrum
node|3944808561|51.6096934|16.8641083||||||Delikatesy Centrum|
node|3975064267|49.8823000|19.4951033||||||Delikatesy Centrum|Delikatesy Centrum
node|3987545332|49.8206074|22.8225811||||||Delikatesy Centrum|
node|3997407836|49.9917020|21.0651008||||||Delikatesy Centrum|Delikatesy Centrum
node|3999212858|50.3453812|22.3472497||208|37-310||Sarzyna|Delikatesy Centrum|
node|4017178713|49.6649084|21.1443258||||||Delikatesy Centrum|
node|4034298428|49.8738692|22.8114417|Orły|12|37-716|Przemyska||Delikatesy Centrum|Delikatesy Centrum
node|4041015606|49.9075199|20.6036812||||||Delikatesy Centrum|Delikatesy Centrum
node|4043915253|49.8440352|20.6814191||||||Delikatesy Centrum|Delikatesy Centrum
node|4045660779|50.5653133|21.6669193|Tarnobrzeg|40|39-400|Adama Mickiewicza||Delikatesy Centrum|Delikatesy Centrum
node|4052779927|52.2369905|20.9110322|Warszawa|3c|01-355|Generała Waleriana Czumy||Delikatesy Centrum|Delikatesy Centrum
node|4057257456|50.1482308|19.1825715||||||Delikatesy Centrum|Delikatesy Centrum
node|4057387782|49.8256592|22.3903001|Dubiecko|43a|37-750|Przemyska||Delikatesy Centrum|Delikatesy Centrum
node|4057953034|51.1384371|20.5648867|Stąporków|132|26-220|Marszałka Józefa Piłsudskiego||Delikatesy Centrum|Delikatesy Centrum
node|4058855042|53.9214825|22.1740070||||||Delikatesy Centrum|Delikatesy Centrum
node|4059462757|54.1758450|15.5471606|||78-100|Wylotowa||Delikatesy Centrum|
node|4060631949|54.1140354|22.9426492||||||Delikatesy Centrum|
node|4061352410|50.5739393|21.6927224|Tarnobrzeg|8|39-400|Eugeniusza Kwiatkowskiego||Delikatesy Centrum|
node|4070506852|49.7126116|21.8096457||||||Delikatesy Centrum|
node|4076087910|49.5907752|20.7155491||||||Delikatesy Centrum|
node|4077462766|50.0297713|22.0178164||||||Delikatesy Centrum|Delikatesy Centrum
node|4083091048|51.1310705|23.4702310|Chełm|||||Delikatesy Centrum|Delikatesy Centrum
node|4097949862|49.9007543|19.1700602||||||Delikatesy Centrum|
node|4121727392|52.3953494|22.0264716|Węgrów|1|07-100|Aleja Siedlecka||Delikatesy Centrum|Delikatesy Centrum
node|4124665430|51.1712448|22.5039743|Lublin|163|20-518|Krężnicka||Delikatesy Centrum|Delikatesy Centrum
node|4129915625|50.1176714|21.8610033||||||Delikatesy Centrum|
node|4149905196|50.6359592|21.7543001||||||Delikatesy Centrum|Delikatesy Centrum
node|4149905197|50.6664904|21.7625281||||||Delikatesy Centrum|Delikatesy Centrum
node|4149905198|50.7284637|21.7049878||||||Delikatesy Centrum|Delikatesy Centrum
node|4193142865|51.7851877|14.7739682|Brody|9|68-343|Wolności||Delikatesy Centrum|Delikatesy Centrum
node|4197809492|51.7888168|18.4969645|Goszczanów|46|98-215|Kaliska||Delikatesy Centrum|
node|4200110429|50.6277331|23.4749093|Komarów-Osada|34|22-435|Rynek||Delikatesy Centrum|Delikatesy Centrum
node|4212947500|49.7291217|20.3243404||||||Delikatesy Centrum|Delikatesy Centrum
node|4212947521|49.7323561|20.3194995||||||Delikatesy Centrum|Delikatesy Centrum
node|4217064911|50.0629713|19.5427421|Alwernia|5|32-566|Osiedle Chemików||Delikatesy Centrum|Delikatesy Centrum
node|4218754324|50.4279759|19.3935875|Łazy|17|42-450|Tadeusza Kościuszki||Delikatesy Centrum|Delikatesy Centrum
node|4219290928|49.5739665|20.3449355||||||Delikatesy Centrum|Delikatesy Centrum
node|4225571192|50.7150847|23.2261565||||||Delikatesy Centrum|Delikatesy Centrum
node|4226542592|50.0316684|22.2289474||341|37-122||Albigowa|Delikatesy Centrum|Delikatesy Centrum
