name|brand|brand:wikidata|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Delikatesy Centrum|Delikatesy Centrum||11-500|Giżycko||Stanisława Moniuszki|10A||54.0370867|21.7543702|node/3093760464
Delikatesy Centrum|Delikatesy Centrum||33-182|Gromnik||Pogórze|||49.7835762|20.9000567|node/3094911334
Delikatesy Centrum|||78-100|Kołobrzeg||Zygmuntowska|||54.1766049|15.5663287|node/3095242602
Delikatesy Centrum|||66-300|Międzyrzecz||Krasińskiego|5||52.4396897|15.5660097|node/3097359483
Delikatesy Centrum|Delikatesy Centrum||84-312|Cewice||Wincentego Witosa|45||54.4366852|17.7354996|node/3115346653
Delikatesy Centrum|Delikatesy Centrum||22-410|Wólka Panieńska||17|||50.6982968|23.3030875|node/3147794390
Delikatesy Centrum|||36-024|Hyżne||878|||49.9256546|22.1617111|node/3151159083
Delikatesy Centrum|Delikatesy Centrum||89-600|Chojnice||Kardynała Stefana Wyszyńskiego|20||53.6933914|17.5433099|node/3160120432
Delikatesy Centrum|Delikatesy Centrum||21-530|Piszczac||Polna|1||51.9814392|23.3794302|node/3201943700
Delikatesy Centrum|||23-420||Różaniec Pierwszy||141A||50.3352192|22.8427699|node/3211732719
Delikatesy Centrum|Delikatesy Centrum||53-650|Wrocław||Stefana Czarnieckiego|13||51.1160626|17.0078572|node/3212222127
Delikatesy Centrum|||63-300|Pleszew||Juliusza Słowackiego|16||51.8932684|17.7805602|node/3224144477
Delikatesy Centrum|Delikatesy Centrum||12-250|Orzysz||Ełcka|||53.8094984|21.9486061|node/3237819740
Delikatesy Centrum|Delikatesy Centrum||39-400|Tarnobrzeg||Jana Słomki|1||50.5880493|21.6904660|node/3274326273
Delikatesy Centrum|||16-030|Supraśl||Cieliczańska|2A||53.2057062|23.3436066|node/3279533216
Delikatesy Centrum|Delikatesy Centrum||59-700|Bolesławiec||Adama Asnyka|24||51.2612129|15.5751487|node/3298559402
Delikatesy Centrum|||38-300|Gorlice||11 Listopada|55B||49.6703883|21.1636045|node/3315551201
Delikatesy Centrum|Delikatesy Centrum||56-416|Twardogóra||Plac Piastów|20||51.3650650|17.4698250|node/3325560263
Delikatesy Centrum|||57-100|Strzelin||Wolności|30||50.7845794|17.0688571|node/3346494056
Delikatesy Centrum|Delikatesy Centrum||37-610|Narol||Targowa|1A||50.3462668|23.3273818|node/3354809916
Delikatesy Centrum|Delikatesy Centrum||32-724||Lipnica Murowana||50||49.8590620|20.5246361|node/3355366731
Delikatesy Centrum|||39-110||Wielopole Skrzyńskie||22A||49.9450165|21.6158885|node/3358901503
Delikatesy Centrum|Delikatesy Centrum||28-100|Busko-Zdrój||Osiedle Władysława Sikorskiego|9||50.4670903|20.7283264|node/3358913728
Delikatesy Centrum|||31-075|Kraków||Świętej Gertrudy|8||50.0584017|19.9410486|node/3372181986
Delikatesy Centrum|||33-300|Nowy Sącz||Aleja Stefana Batorego|||49.6096443|20.7008717|node/3412653321
Delikatesy Centrum|||56-513|Międzybórz||Wrocławska|19||51.3967115|17.6661887|node/3448830785
Delikatesy Centrum|Delikatesy Centrum||28-100|Busko-Zdrój||Bohaterów Warszawy|59||50.4693957|20.7080468|node/3457666822
Delikatesy Centrum|Delikatesy Centrum||84-241|Gościcino||Jarzębinowa|||54.6061481|18.1540965|node/3462022321
Delikatesy Centrum|Delikatesy Centrum||27-500|Opatów||Henryka Sienkiewicza|19||50.8002243|21.4311523|node/3479569973
Delikatesy Centrum||||Łódź||Aleja Stefana Wyszyńskiego|7a||51.7481838|19.4126832|node/3491596636
Delikatesy Centrum|Delikatesy Centrum|||Warszawa||Erazma Ciołka|10||52.2417122|20.9455882|node/3497246954
Delikatesy Centrum|Delikatesy Centrum||39-120|Sędziszów Małopolski||Fabryczna|3||50.0698000|21.6887792|node/3566515997
Delikatesy Centrum|Delikatesy Centrum||32-065|Krzeszowice||Majowa|2||50.1386150|19.6464105|node/3575374993
Delikatesy Centrum|Delikatesy Centrum||09-400|Płock||Wyszogrodzka|163||52.5355145|19.7614477|node/3586731685
Delikatesy Centrum|Delikatesy Centrum||84-113|Wierzchucino||Antoniego Abrahama|22/7||54.7881791|17.9997588|node/3586773376
Delikatesy Centrum|||38-120|Czudec||Kolejowa|9||49.9441342|21.8313176|node/3588357409
Delikatesy Centrum|Delikatesy Centrum||62-406|Lądek||Pyzderska|7||52.2091605|17.9280559|node/3594232364
Delikatesy Centrum|||36-020|Borek Stary||878|||49.9823352|22.1136715|node/3612891063
Delikatesy Centrum|Delikatesy Centrum||31-624||Kraków||21||50.0974705|20.0199439|node/3617238770
Delikatesy Centrum|Delikatesy Centrum||02-787|Warszawa||Béli Bartóka|8||52.1622545|21.0284403|node/3634805189
Delikatesy Centrum|Delikatesy Centrum||32-060||Kryspinów||97A||50.0438490|19.7922023|node/3639100612
Delikatesy Centrum|||86-013|Mąkowarsko||Bydgoska|21||53.4040423|17.8147669|node/3646294086
Delikatesy Centrum|Delikatesy Centrum||30-653|Kraków||Kordiana|||50.0089836|19.9619787|node/3646575197
Delikatesy Centrum|Delikatesy Centrum||38-713||Lutowiska||73||49.2514210|22.6956245|node/3662338419
Delikatesy Centrum|||74-500|Chojna||Jagiellońska|21B||52.9604360|14.4401030|node/3665654026
Delikatesy Centrum|Delikatesy Centrum||36-046||Zgłobień||82||50.0126288|21.8556493|node/3707691532
Delikatesy Centrum|Delikatesy Centrum||35-104|Kielanówka||Kresowa|||50.0250715|21.9400189|node/3707691533
Delikatesy Centrum|||36-200|Brzozów||Parkowa|13||49.6914888|22.0122787|node/3709707272
Delikatesy Centrum|Delikatesy Centrum||26-604|Radom||Juliusza Słowackiego|184||51.3796540|21.1822591|node/3713151899
Delikatesy Centrum|||34-470|Czarny Dunajec||Rynek|||49.4408029|19.8549056|node/3716542411
Delikatesy Centrum|Delikatesy Centrum||27-515|Tarłów||Czekarzewska|1||51.0022663|21.7137978|node/3716574056
Delikatesy Centrum|Delikatesy Centrum||23-407||Tereszpol-Kukiełki||102||50.5543505|22.9305052|node/3739277831
Delikatesy Centrum|||39-300|Mielec||Joachima Lelewela|10||50.2888348|21.4203787|node/3765116426
Delikatesy Centrum|||28-225|Szydłów||Rynek|||50.5912000|21.0022153|node/3771271558
Delikatesy Centrum|||26-035|Raków||Plac Wolności|15||50.6755472|21.0418362|node/3771614192
